what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1379528773040
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1379528773041
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1379528773042
started,bundle,org.jboss.ide.eclipse.as.core,2.3.0.v20120321-1339-H91-Beta2,"org.jboss.ide.eclipse.as.core",1379528773043
started,bundle,org.jboss.ide.eclipse.as.ui,2.3.0.v20120321-1339-H91-Beta2,"org.jboss.ide.eclipse.as.ui",1379528773043
started,bundle,org.jboss.tools.central,1.0.0.v20120307-1926-H67-Beta1,"org.jboss.tools.central",1379528773044
started,bundle,org.jboss.tools.common,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common",1379528773044
started,bundle,org.jboss.tools.common.model,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common.model",1379528773045
started,bundle,org.jboss.tools.common.validation,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common.validation",1379528773046
started,bundle,org.jboss.tools.forge.core,1.0.0.v20120328-1255-H60-Beta2,"org.jboss.tools.forge.core",1379528773047
started,bundle,org.jboss.tools.forge.ui,1.0.0.v20120328-1255-H60-Beta2,"org.jboss.tools.forge.ui",1379528773047
started,bundle,org.jboss.tools.project.examples,1.2.1.v20120320-2046-H78-Beta2,"org.jboss.tools.project.examples",1379528773048
started,bundle,org.jboss.tools.runtime.ui,1.3.0.v20120307-2045-H73-Beta1,"org.jboss.tools.runtime.ui",1379528773048
started,bundle,org.jboss.tools.seam.core,3.3.0.v20120302-2019-H81-Beta1,"org.jboss.tools.seam.core",1379528773056
started,bundle,org.jboss.tools.seam.ui,3.3.0.v20120302-2019-H81-Beta1,"org.jboss.tools.seam.ui",1379528773059
started,bundle,org.jboss.tools.usage,1.1.0.v20120302-0148-H44-Beta1,"org.jboss.tools.usage",1379528773060
started,bundle,org.eclipse.uml2.uml,3.2.100.v201108110105,"org.eclipse.uml2.uml",1379528773062
started,bundle,org.guvnor.tools,5.2.1.Final,"org.guvnor.tools",1379528773063
started,bundle,org.jboss.tools.runtime,1.3.0.v20111208-1602-H41-M5,"org.jboss.tools.runtime",1379528773064
started,bundle,org.teiid.core.designer,7.6.0.v20111215-2105-H67-M5,"org.teiid.core.designer",1379528773064
started,bundle,org.teiid.designer.legacy,1.0.0.v20111215-2105-H67-M5,"org.teiid.designer.legacy",1379528773065
started,bundle,org.teiid.designer.metamodels.core,7.6.0.v20111215-2105-H67-M5,"org.teiid.designer.metamodels.core",1379528773065
started,bundle,org.teiid.designer.metamodels.diagram,7.6.0.v20111215-2105-H67-M5,"org.teiid.designer.metamodels.diagram",1379528773066
started,bundle,org.teiid.designer.metamodels.relational,7.6.0.v20111215-2105-H67-M5,"org.teiid.designer.metamodels.relational",1379528773066
started,bundle,org.teiid.designer.metamodels.relationship,7.6.0.v20111215-2105-H67-M5,"org.teiid.designer.metamodels.relationship",1379528773066
started,bundle,org.teiid.designer.metamodels.transformation,7.6.0.v20111215-2105-H67-M5,"org.teiid.designer.metamodels.transformation",1379528773067
started,bundle,org.teiid.designer.metamodels.wsdl,7.6.0.v20111215-2105-H67-M5,"org.teiid.designer.metamodels.wsdl",1379528773067
started,bundle,org.teiid.designer.metamodels.xsd,7.6.0.v20111215-2105-H67-M5,"org.teiid.designer.metamodels.xsd",1379528773068
